BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,TotalBsmtSF,YearBuilt,BsmtExposure_No,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_Missing,BsmtFinType1_Rec,BsmtFinType1_ALQ,BsmtFinType1_LwQ,BsmtFinType1_BLQ,BsmtFinType1_Missing,BsmtFinType1_GLQ,GarageFinish_RFn,GarageFinish_Missing,GarageFinish_Unf,GarageFinish_Fin,KitchenQual_TA,KitchenQual_Ex,KitchenQual_Fa,SalePrice
3.0,0.7534182262150977,396,264,-0.9225947131729473,-0.16447979889152978,70.0,0.0,0,8,0.05547282988583651,1963,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,154500
3.0,1.0448670360370391,431,712,1.8058221643942534,0.5637630624270915,98.0,362.0,32,5,0.9212859646536417,1994,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,325000
2.0,-1.3552551742890226,1008,360,-1.0388991660304892,-0.04279758766927275,56.0,0.0,0,6,-0.059697519529332665,1927,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,115000
3.0,0.4537982540838507,605,420,0.4264191656382775,-1.1709227524494652,50.0,0.0,24,7,-0.06879625652861558,1947,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,159000
2.0,1.0381267623218011,598,912,0.3450014060749475,0.6626779991813669,89.0,70.0,0,5,1.2395457025752254,2007,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,315500
1.0,-0.03240646492118206,0,0,-2.5332580146822137,-1.6222519161826394,21.0,0.0,24,6,-0.9714900611719467,1972,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,75500
3.0,0.3680565674614397,457,431,0.914227052035514,1.038725173867833,69.0,312.0,119,9,-0.551913245406879,1939,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,311500
3.0,0.31922907564537417,544,440,0.020589931080837735,-1.6222519161826394,24.0,0.0,0,5,-0.4151742678138777,1978,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,146000
1.0,-0.09134252457846044,0,0,-2.5332580146822137,-1.6222519161826394,21.0,0.0,0,6,-0.9714900611719467,1970,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,84500
3.0,-1.3552551742890226,816,300,-0.11391942937683168,1.1360228976972528,59.0,0.0,0,7,-0.5084556731865537,1955,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135500
3.0,-1.3552551742890226,861,216,0.06412788295158381,-0.7266492465551837,52.0,0.0,50,7,-0.40092639952933223,1928,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,145000
