BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,TotalBsmtSF,YearBuilt,BsmtExposure_No,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_Missing,BsmtFinType1_Rec,BsmtFinType1_ALQ,BsmtFinType1_LwQ,BsmtFinType1_BLQ,BsmtFinType1_Missing,BsmtFinType1_GLQ,GarageFinish_RFn,GarageFinish_Missing,GarageFinish_Unf,GarageFinish_Fin,KitchenQual_TA,KitchenQual_Ex,KitchenQual_Fa,SalePrice
3.0,0.967770046358154,392,294,-0.2915167528610987,-0.16770241965158636,70.0,0.0,0,6,0.6105803830262924,1957,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,145000
3.0,-1.35525517496005,799,380,0.2516704255136725,-0.3019434283187766,59.0,0.0,40,7,-0.5494920371807323,1993,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,178000
2.0,-1.35525517496005,796,0,-1.8189081923695325,-0.08273715294678854,67.0,0.0,0,7,-0.5567581283147299,1910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,85000
3.0,0.6594620846675843,162,240,0.6105569281202357,-0.4659466109820688,60.0,252.0,0,7,-0.7160708370520711,1937,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,175000
3.0,0.1403813786340949,808,308,0.4753142869336258,-1.1709227517866545,50.0,0.0,0,6,-0.018873200563311345,1924,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,127000
3.0,0.9470229603397151,0,552,-1.464669364992095,0.13067105631400214,70.0,0.0,0,7,-0.32303605478624825,1972,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,149900
3.0,-1.35525517496005,684,400,0.23031611281221384,0.508451299112857,122.0,0.0,38,5,-0.8336567855173499,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,174000
3.0,0.8186790855615463,61,240,-0.6867165037975262,-1.0093504769971786,40.0,0.0,96,8,-0.5567581283147299,1922,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,125500
3.0,0.6793666384932917,606,576,-0.051257893559141,0.5373457978722085,78.0,210.0,0,6,0.8366801242642842,1981,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,175500
3.0,-1.35525517496005,1496,474,0.10298592586337972,-0.0004903122765749293,76.0,140.0,130,5,0.9889183638450414,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225000
3.0,0.06764976751414202,0,240,-1.400534711476818,-0.16770241965158636,70.0,0.0,0,5,-0.5132714068534164,1966,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,129000
3.0,0.6011028878074044,380,484,-0.871680785458814,0.7366601594567689,85.0,1047.0,0,5,-0.023399620059634408,1966,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,159950
