BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,TotalBsmtSF,YearBuilt,BsmtExposure_No,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_Missing,BsmtFinType1_Rec,BsmtFinType1_ALQ,BsmtFinType1_LwQ,BsmtFinType1_BLQ,BsmtFinType1_Missing,BsmtFinType1_GLQ,GarageFinish_RFn,GarageFinish_Missing,GarageFinish_Unf,GarageFinish_Fin,KitchenQual_TA,KitchenQual_Ex,KitchenQual_Fa
3.0,0.9677700471958924,392,294,-0.2915167633730713,-0.1677024179112573,70.0,0.0,0,6,0.6105803834416816,1957,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3.0,-1.3552551742890226,799,380,0.2516704147402545,-0.3019434266909598,59.0,0.0,40,7,-0.5494920354296593,1993,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2.0,-1.3552551742890226,796,0,-1.81890816583714,-0.0827371511684619,67.0,0.0,0,7,-0.5567581265672719,1910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,0.6594620840895761,162,240,0.6105569208971658,-0.4659466095793226,60.0,252.0,0,7,-0.7160708354274111,1937,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3.0,0.1403813763879239,808,308,0.4753142780246223,-1.1709227524494652,50.0,0.0,0,6,-0.0188731989787419,1924,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3.0,0.9470229610732276,0,552,-1.464669351816691,0.1306710580733899,70.0,0.0,0,7,-0.3230360530051788,1972,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3.0,-1.3552551742890226,684,400,0.230316101920957,0.5084513004392157,122.0,0.0,38,5,-0.8336567840387785,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,0.818679085678485,61,240,-0.6867165098582649,-1.0093504770292294,40.0,0.0,96,8,-0.5567581265672719,1922,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3.0,0.6793666379977867,606,576,-0.0512579050233559,0.5373457991443985,78.0,210.0,0,6,0.8366801240352832,1981,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3.0,-1.3552551742890226,1496,474,0.1029859144872077,-0.0004903104862879,76.0,140.0,130,5,0.988918363121053,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,0.0676497651153961,0,240,-1.4005347004122328,-0.1677024179112573,70.0,0.0,0,5,-0.5132714050868402,1966,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3.0,0.6011028869949088,380,484,-0.8716807882042309,0.7366601602741017,85.0,1047.0,0,5,-0.023399618470265,1966,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3.0,0.7912113121765005,567,478,0.3091534459295355,0.5034032684501696,82.0,206.0,0,5,0.5191736292245587,1978,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3.0,0.5266726248843949,314,486,0.9635225779373428,0.7653679186887795,85.0,176.0,42,6,-0.6249368182831097,1965,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3.0,-1.3552551742890226,1164,528,-0.660444839303307,0.0907529806894196,80.0,168.0,0,5,0.2879922397910223,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4.0,-1.3552551742890226,1010,390,1.3649292954340693,-0.2457361357698572,69.0,0.0,46,5,-0.0551518116150729,2002,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,-0.5757391409075928,905,450,1.3542106507975884,1.6077449414660567,69.0,184.0,120,5,1.6118217982215963,1953,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2.0,0.0499622158271753,0,720,-1.7097036271588766,-0.2060920654481207,49.0,0.0,50,7,-0.4868241929885791,1955,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
3.0,0.6225318552385006,155,440,-0.042716010785939,-0.274244620999908,75.0,140.0,0,6,-0.8185270351165486,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
3.0,1.2627878941188453,0,616,0.4025915989953631,0.5888899308403995,47.0,132.0,0,5,1.211515760092678,1986,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2.0,-1.3552551742890226,768,200,-1.845867683667552,0.2815134355708662,55.0,0.0,0,5,-0.6249368182831097,1926,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6.0,0.5825823758477401,748,968,1.819654027767073,0.4643704900323083,91.0,368.0,0,5,0.4699391520263828,1969,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3.0,-1.3552551742890226,1042,225,0.2613272280514818,-0.7426955872350746,52.0,0.0,0,6,0.0172528180313263,1928,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3.0,-1.3552551742890226,783,393,0.0785022150077916,0.2151371785013201,65.0,0.0,72,5,-0.5883305291268526,2005,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2.0,0.9000338697732582,343,555,-0.5677120224251269,0.185788569231997,67.0,0.0,41,5,0.3141966814809652,2003,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2.0,-1.3552551742890226,625,528,-0.4434577401020005,-1.4844329355160828,35.0,0.0,54,5,-0.9844105276362572,2006,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,1.2670327935454373,496,567,0.8323624632783054,1.2541120217622286,100.0,0.0,207,8,1.7911074552350594,1959,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2.0,-1.3552551742890226,0,400,-1.0035363452570456,-0.1348083006964056,69.0,340.0,0,4,-2.260872514569943,1949,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3.0,-1.3552551742890226,1502,644,0.1151537515685621,0.0788186390503678,79.0,268.0,114,5,1.0011716232115468,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,-1.3552551742890226,1228,271,-0.4975018431002914,-0.1348083006964056,69.0,0.0,65,6,0.426926876737428,1966,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,0.4195610604448473,457,288,-0.3999470709333768,0.5459788533530655,60.0,0.0,28,7,-0.4700437741641594,1949,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2.0,0.5441318984693447,396,0,-1.5687815091259727,-0.950519428395982,67.0,0.0,0,6,-0.3938125322828179,1925,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3.0,0.7167519785104608,0,612,0.4663191760772667,0.2157045225239745,79.0,157.0,131,6,1.3708174098547627,1980,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3.0,1.099590007748838,165,490,0.3450014060749475,0.1680415917076057,69.0,0.0,78,4,0.5405046561214556,1976,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
